,img,label,text,caption,gen
0,img/01236.png,0,meanwhile at the isis strip club,two ladies wearing massive looking all in their fur,mouth and sheep and mouth and sheep and man and man and sheep and man and mouth and sheep and mustache
1,img/01243.png,0,"when your human says ""who' s a good girl?"" and you already know it's you",two dogs staring at each other poses outside of a tree,tongue and ear and ears and dog and ear and tongue and nose and dog and nose and ears and teeth
2,img/01258.png,0,ladies! if your man is offended by this he is a faggot. end of story,a woman dish with pink frosting while wearing a face and,hair and straw and hand and chair and hair and button and face and hand and hair and hand and woman
3,img/01269.png,1,kermit the frog definitely not a muslim,a leafy yellow fire hydrant has been painted like a brightly batter signpost with a car,hand and wall and eye and eye and bow and mouth and head and hand and table and table and eye
4,img/01274.png,0,how you guys think you looks like but when pados wale pandit jee sees you taba renso,a man sleeping on the ground in a chair with his tie in his though looking u,nose and eyes and hat and wall and face and eye and head and eyes and eye and beard and man
5,img/01275.png,0,if you think t willl stop eating palony and viannas voetsek!!! stupid no brain here,two pug holding a headphones on a spacious,tie and hair and man and hand and mouth and shirt and man and hand and hand and head and hair
6,img/01293.png,0,when you forget to wash your hands,an saying shaped females of a very large pile of water coming from <unk>,butterfly and cake and arm and arm and wall and carrot and sky and snow and wall and handle and frosting
7,img/01329.png,1,saddle up motherfuckers it's time to play cowboys,two men backpack on a bench posts to his face,man and hat and man and man and hat and hat and hat and man and hat and camera and man
8,img/01348.png,0,meanwhile at the isis strip club,a man that are sitting in a field,mouth and sheep and mouth and sheep and mouth and sheep and sheep and mouth and mustache and man and teeth
9,img/01439.png,0,im long and strong and down to get the goat hump on,a man is standing next to a cow on a mountain,head and sky and horn and horn and head and horn and head and horn and head and horns and rock
10,img/01452.png,0,the feeling after a long day at work,an elephant snack over a fence,eye and eye and mouth and ear and eyes and mouth and ear and paw and ear and mouth and head
11,img/01465.png,0,there is difference between violating muslims and other muslims dont get confused,a picture of several children and a high does and a number of pug and windows,hat and belt and flag and glove and glove and glove and flag and glove and glove and shirt and gloves
12,img/01467.png,0,it's a great day to be a honky!,a person talking on a cell phone to picture,hair and shirt and man and hand and shirt and nose and man and man and ear and hair and face
13,img/01468.png,0,"assad: my son exploded better than yours, lol hamid:",a beautiful table filled with stove on the shelf with containing all over,toilet and toilet and sink and floor and faucet and toilet and sink and lid and faucet and sink and hair
14,img/01483.png,0,"feeling bored, let's go to a mosque",people sitting around relaxing of people,shirt and man and shirt and hair and hair and ear and man and hair and shirt and woman and hair
15,img/01487.png,1,when you forget you're retarded,a man near a giant sign that party,glasses and sign and hair and sign and face and glove and logo and sign and wall and glasses and glove
16,img/01497.png,1,now back to the married islamic classic.. to children,a lady standing by a skateboard,beard and label and label and beard and man and beard and hair and label and man and bottle and bottle
17,img/01526.png,0,put the money in a bag. now! that will be $0.15,a pair of women on a computer as she rows a laptop on a building,keyboard and keyboard and chair and woman and hair and table and woman and strap and keyboard and hair and shirt
18,img/01527.png,0,oh no i can't run anymore,a lady ridding in a parking lot,hand and hand and nail and hand and leg and watch and skirt and finger and man and hand and hand
19,img/01547.png,0,how mexicans be like... when they hear their friends kid is having a birthday party,four people sitting around a meal backpack,carrots and man and table and bottle and hair and shirt and hair and woman and plate and plate and woman
20,img/01564.png,0,puts on sunblock doesn't protect from harmful rays,girl in red goes and picture,ear and nose and eye and shirt and teeth and hair and eyes and ear and mouth and ear and eyes
21,img/01568.png,1,do you think a terrorist has or could infiltrate our goverment ???,a man with stalk and looking u at it's styrofoam and head in his desktop,tattoo and nose and eye and face and eye and sleeve and eye and lips and eyes and jacket and woman
22,img/01569.png,0,when you can't decide to pre heat the oven or just throw the meal in right away,two children deep and other men and food,window and hair and hair and woman and face and hand and hair and woman and window and hair and window
23,img/01578.png,1,sea monkeys,a group of people playing around a frisbee,head and girl and hand and girl and girl and hat and sky and man and woman and woman and water
24,img/01579.png,1,"muslim figure: ""we must have pork-free menus or we will leave u.s"" bacon america great again!",the woman is dressed up at the right hand with a deserts,ring and backpack and hand and backpack and woman and hand and building and ring and man and woman and jacket
25,img/01637.png,1,this time jesus you're not getting away,there tier to have a syrup to wit sign,handlebar and window and window and blade and strap and handle and screw and blades and blade and top and camera
26,img/01642.png,1,this would be racist if black people could read,man in an flyer tie in posing with a bright tie racing shirt and name <unk>,button and glasses and teeth and man and nose and face and glasses and glasses and button and collar and nose
27,img/01643.png,0,i'm not a racist my shadow is black,a baby that man sits training takes a girl reading a laptop computer keyboard and between his laptop,hair and man and hand and hair and teeth and mouth and hair and teeth and toothbrush and teeth and ear
28,img/01653.png,0,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """,a woman with it's same clothes sitting up in the mirror holding a cat kayaks up in the camera with an animal cat frying mannequin green snowboarding from a cat by a biplane,hand and ear and hand and hair and cat and cat and wall and hand and ear and hair and ear
29,img/01682.png,1,fuck allah fuck islam and guck the child raper muhammad and yes that's pork in the quran,the sandwich looks like curve and contents on top of a retriever sub sandwich,hand and hand and wall and hand and leaves and hand and book and leaves and hand and hand and hand
30,img/01763.png,0,want a spin ?,three tour in hand on a wooden table,handle and table and handle and floor and toothbrush and handle and handle and table and table and handle and handle
31,img/01793.png,1,don't mind me i'm only watering my muslims,a black and black and black and black and black and black horse next to a horse boarding calico,tree and tree and man and man and hat and tree and tree and pants and post and ground and post
32,img/01823.png,0,i too was once a male trapped in a female's body but then i was born,a kiss who is wearing glasses cardinal his face to his face,nose and ear and eyebrow and face and hair and eyebrow and hair and eyes and ear and eye and eye
33,img/01829.png,0,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables,the man sitting in front of a chair near a man sits,mouth and man and hair and man and shirt and shirt and hand and eyes and arm and man and eyes
34,img/01842.png,0,it's a wiener pit kinda like your mouth,a close up of a brown dog is tow calculator while hay partially a dog,dog and dog and dog and ear and nose and collar and nose and collar and grass and dog and tag
35,img/01894.png,0,we haven't t seen any new jesus appearances on pancakes in a while i hope he's okay,a little siamese per,hair and nose and ear and earring and ear and earring and eye and finger and window and nose and finger
36,img/01896.png,0,terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism,a man wearing a black wait cardinal his tie poses for a picture,shirt and hair and man and ear and collar and nose and man and ear and shirt and city and nose
37,img/01924.png,1,whats the difference between a feminist and a suicide vest? a suicide vest actually accomplishes something when its triggered,a group of snowsuit pictures of animals including each other a dog teenage suits posing for pictures,sign and bag and bag and sign and shirt and shoe and woman and woman and bag and wall and shirt
38,img/01954.png,0,the best part about a prostitute dying on you is you get the second hour free,a onlookers set woman near a car making a picture,"dress and wall and woman and sidewalk,side walk and girl and dress and shirt and hair and sky and boots and hand"
39,img/01974.png,1,hiroshima hiroshima nagasaki everybody needs a friend,a person decorated the festive art wedged,hair and man and man and sleeve and circle and nose and man and man and face and hair and man
40,img/02153.png,0,when you're arguing with someone and trying notto hit them,close up of a lot of different eight equipment on the table,foot and paper and eye and arm and heart and bow and bow and hand and stem and carpet and sign
41,img/02158.png,1,i like my women like i like my chickens held in captivity until i behead them,this picture of a look like the neck tie decorated dalmatian surf in a photo was a small bird,head and bird and bird and feet and neck and bird and head and bird and feet and feet and sky
42,img/02165.png,0,the difference between moderate muslim and radical muslim follow my allah or i kill you! follow my allah or he kill,there is a man with glasses and a tie and a black hat and wearing glasses and a black dress shirt and tie carrying a black shirt and glasses and a hat on the side up mom and black hanging care a right hand region,man and shirt and hat and hand and shirt and man and hat and face and beard and wall and head
